processed_text,label
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí nằm mức chấp_nhận,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí phù_hợp,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí nằm mức chấp_nhận,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí phù_hợp,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
